hospital_drug_id,generic_name_cn,generic_name_en,trade_name_cn,strength,dosage_form,route,atc_code,rxnorm_rxcui,insurance_code,manufacturer,in_formulary,in_stock,high_alert,antibiotic_level,narcotic_class,restricted_dept,alternatives
H-DEMO-00012,阿哌沙班,apixaban,艾乐妥,5mg,片剂,PO,B01AF02,1364430,8690000000012,复星医药,1,1,1,0,0,,
H-DEMO-00013,布洛芬,ibuprofen,芬必得,0.3g,缓释胶囊,PO,M01AE01,5640,8690000000013,科伦药业,1,1,0,0,0,,H-DEMO-00015
H-DEMO-00014,布洛芬,ibuprofen,美林,0.1g/5ml,混悬液,PO,M01AE01,5640,8690000000014,华润双鹤,1,1,0,0,0,,H-DEMO-00015
H-DEMO-00015,对乙酰氨基酚,acetaminophen,泰诺林,0.5g,片剂,PO,N02BE01,161,8690000000015,正大天晴,1,1,0,0,0,,
H-DEMO-00016,对乙酰氨基酚,acetaminophen,必理通,0.65g,片剂,PO,N02BE01,161,8690000000016,豪森药业,1,1,0,0,0,,
H-DEMO-00017,双氯芬酸,diclofenac,扶他林,50mg,肠溶片,PO,M01AB05,3355,8690000000017,人福医药,1,1,0,0,0,,H-DEMO-00015
H-DEMO-00018,塞来昔布,celecoxib,西乐葆,0.2g,胶囊,PO,M01AH01,140587,8690000000018,华北制药,1,1,0,0,0,,H-DEMO-00015
H-DEMO-00019,洛索洛芬,loxoprofen,乐松,60mg,片剂,PO,M01AE03,237884,8690000000019,扬子江药业,1,1,0,0,0,,H-DEMO-00015
H-DEMO-00020,曲马多,tramadol,奇曼丁,50mg,胶囊,PO,N02AX02,10689,8690000000020,恒瑞医药,1,1,0,0,2,,
H-DEMO-00021,吗啡,morphine,美菲康,10mg,注射液,IV,N02AA01,7052,8690000000021,石药集团,1,1,1,0,1,,
H-DEMO-00022,芬太尼,fentanyl,芬太尼,0.1mg/2ml,注射液,IV,N01AH01,4337,8690000000022,中国生物,1,1,1,0,1,,
H-DEMO-00023,阿莫西林,amoxicillin,阿莫仙,0.5g,胶囊,PO,J01CA04,723,8690000000023,拜耳,1,1,0,1,0,,H-DEMO-00038
H-DEMO-00024,阿莫西林克拉维酸,amoxicillin clavulanate,奥格门汀,0.625g,片剂,PO,J01CR02,151392,8690000000024,辉瑞,1,1,0,2,0,,
H-DEMO-00025,氨苄西林,ampicillin,安必仙,0.5g,胶囊,PO,J01CA01,733,8690000000025,诺华,1,1,0,1,0,,H-DEMO-00023
H-DEMO-00026,青霉素,penicillin,青霉素钠,80万U,粉针,IV,J01CE01,7984,8690000000026,赛诺菲,1,1,0,1,0,,H-DEMO-00023
H-DEMO-00027,头孢氨苄,cephalexin,先锋IV,0.25g,胶囊,PO,J01DB01,2231,8690000000027,AstraZeneca,1,1,0,1,0,,
H-DEMO-00028,头孢呋辛,cefuroxime,西力欣,0.75g,片剂,PO,J01DC02,2194,8690000000028,罗氏,1,1,0,2,0,,
H-DEMO-00029,头孢曲松,ceftriaxone,罗氏芬,1g,粉针,IV,J01DD04,2193,8690000000029,齐鲁制药,1,1,0,3,0,,
H-DEMO-00030,头孢他啶,ceftazidime,凯复定,1g,粉针,IV,J01DD02,2191,8690000000030,复星医药,1,1,0,3,0,,
H-DEMO-00031,头孢哌酮舒巴坦,cefoperazone sulbactam,舒普深,1.5g,粉针,IV,J01DD62,236473,8690000000031,科伦药业,1,1,0,3,0,,
H-DEMO-00032,哌拉西林他唑巴坦,piperacillin tazobactam,特治星,4.5g,粉针,IV,J01CR05,74169,8690000000032,华润双鹤,1,1,0,3,0,,
H-DEMO-00033,美罗培南,meropenem,美平,1g,粉针,IV,J01DH02,29561,8690000000033,正大天晴,1,1,0,3,0,ICU,
H-DEMO-00034,亚胺培南西司他丁,imipenem cilastatin,泰能,0.5g,粉针,IV,J01DH51,1659132,8690000000034,豪森药业,1,1,0,3,0,ICU,
H-DEMO-00035,万古霉素,vancomycin,稳可信,0.5g,粉针,IV,J01XA01,11124,8690000000035,人福医药,1,1,1,3,0,,
H-DEMO-00036,阿米卡星,amikacin,丁胺卡那,0.5g,注射液,IV,J01GB06,641,8690000000036,华北制药,1,1,0,3,0,,
H-DEMO-00037,庆大霉素,gentamicin,庆大霉素,80mg,注射液,IV,J01GB03,1428,8690000000037,扬子江药业,1,1,0,3,0,,
H-DEMO-00038,阿奇霉素,azithromycin,希舒美,0.25g,片剂,PO,J01FA10,18631,8690000000038,恒瑞医药,1,1,0,2,0,,
H-DEMO-00039,克拉霉素,clarithromycin,克拉仙,0.25g,片剂,PO,J01FA09,21212,8690000000039,石药集团,1,0,0,2,0,,H-DEMO-00038
H-DEMO-00040,左氧氟沙星,levofloxacin,可乐必妥,0.5g,片剂,PO,J01MA12,82122,8690000000040,中国生物,1,1,0,3,0,,
H-DEMO-00041,莫西沙星,moxifloxacin,拜复乐,0.4g,片剂,PO,J01MA14,139896,8690000000041,拜耳,1,1,0,3,0,,
H-DEMO-00042,环丙沙星,ciprofloxacin,悉复欢,0.25g,片剂,PO,J01MA02,2551,8690000000042,辉瑞,1,1,0,2,0,,
H-DEMO-00043,甲硝唑,metronidazole,灭滴灵,0.2g,片剂,PO,J01XD01,6922,8690000000043,诺华,1,1,0,2,0,,
H-DEMO-00044,氟康唑,fluconazole,大扶康,0.15g,胶囊,PO,J02AC01,4450,8690000000044,赛诺菲,1,1,0,2,0,,
H-DEMO-00045,伏立康唑,voriconazole,威凡,0.2g,片剂,PO,J02AC03,280790,8690000000045,AstraZeneca,1,1,0,3,0,血液科,
H-DEMO-00046,赖诺普利,lisinopril,捷赐瑞,10mg,片剂,PO,C09AA03,29046,8690000000046,罗氏,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00047,卡托普利,captopril,开博通,25mg,片剂,PO,C09AA01,1998,8690000000047,齐鲁制药,1,1,0,0,0,,H-DEMO-00049
H-DEMO-00048,培哚普利,perindopril,雅施达,4mg,片剂,PO,C09AA04,54552,8690000000048,复星医药,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00049,氯沙坦,losartan,科素亚,50mg,片剂,PO,C09CA01,52175,8690000000049,科伦药业,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00050,缬沙坦,valsartan,代文,80mg,胶囊,PO,C09CA03,69749,8690000000050,华润双鹤,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00051,厄贝沙坦,irbesartan,安博维,0.15g,片剂,PO,C09CA04,83818,8690000000051,正大天晴,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00052,氨氯地平,amlodipine,络活喜,5mg,片剂,PO,C08CA01,17767,8690000000052,豪森药业,1,1,0,0,0,,
H-DEMO-00053,硝苯地平,nifedipine,拜新同,30mg,控释片,PO,C08CA05,7417,8690000000053,人福医药,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00054,非洛地平,felodipine,波依定,5mg,缓释片,PO,C08CA02,4316,8690000000054,华北制药,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00055,美托洛尔,metoprolol,倍他乐克,25mg,片剂,PO,C07AB02,6918,8690000000055,扬子江药业,1,1,0,0,0,,
H-DEMO-00056,美托洛尔,metoprolol,倍他乐克,47.5mg,缓释片,PO,C07AB02,6918,8690000000056,恒瑞医药,1,1,0,0,0,,
H-DEMO-00057,比索洛尔,bisoprolol,康忻,5mg,片剂,PO,C07AB07,19484,8690000000057,石药集团,1,1,0,0,0,,
H-DEMO-00058,卡维地洛,carvedilol,络德,12.5mg,片剂,PO,C07AG02,20352,8690000000058,中国生物,1,1,0,0,0,,
H-DEMO-00059,地高辛,digoxin,地高辛,0.25mg,片剂,PO,C01AA05,3407,8690000000059,拜耳,1,1,1,0,0,,
H-DEMO-00060,胺碘酮,amiodarone,可达龙,0.2g,片剂,PO,C01BD01,703,8690000000060,辉瑞,1,1,1,0,0,,
H-DEMO-00061,呋塞米,furosemide,速尿,20mg,片剂,PO,C03CA01,4603,8690000000061,诺华,1,1,0,0,0,,
H-DEMO-00062,呋塞米,furosemide,速尿,20mg/2ml,注射液,IV,C03CA01,4603,8690000000062,赛诺菲,1,1,0,0,0,,
H-DEMO-00063,托拉塞米,torsemide,特苏尼,10mg,片剂,PO,C03CA04,38409,8690000000063,AstraZeneca,1,1,0,0,0,,
H-DEMO-00064,螺内酯,spironolactone,安体舒通,20mg,片剂,PO,C03DA01,9997,8690000000064,罗氏,1,1,0,0,0,,
H-DEMO-00065,氢氯噻嗪,hydrochlorothiazide,双氢克尿噻,25mg,片剂,PO,C03AA03,5487,8690000000065,齐鲁制药,1,1,0,0,0,,
H-DEMO-00066,硝酸甘油,nitroglycerin,硝酸甘油,0.5mg,舌下片,SL,C01DA02,4917,8690000000066,复星医药,1,1,1,0,0,,
H-DEMO-00067,单硝酸异山梨酯,isosorbide mononitrate,欣康,20mg,片剂,PO,C01DA14,1364433,8690000000067,科伦药业,1,1,0,0,0,,
H-DEMO-00068,辛伐他汀,simvastatin,舒降之,20mg,片剂,PO,C10AA01,36567,8690000000068,华润双鹤,1,1,0,0,0,,H-DEMO-00069
H-DEMO-00069,阿托伐他汀,atorvastatin,立普妥,20mg,片剂,PO,C10AA05,83367,8690000000069,正大天晴,1,1,0,0,0,,
H-DEMO-00070,瑞舒伐他汀,rosuvastatin,可定,10mg,片剂,PO,C10AA07,301542,8690000000070,豪森药业,1,1,0,0,0,,
H-DEMO-00071,非诺贝特,fenofibrate,力平之,0.2g,胶囊,PO,C10AB05,8703,8690000000071,人福医药,1,1,0,0,0,,
H-DEMO-00072,二甲双胍,metformin,格华止,0.5g,片剂,PO,A10BA02,6809,8690000000072,华北制药,1,1,0,0,0,,
H-DEMO-00073,二甲双胍,metformin,格华止,0.85g,片剂,PO,A10BA02,6809,8690000000073,扬子江药业,1,1,0,0,0,,
H-DEMO-00074,格列本脲,glibenclamide,优降糖,2.5mg,片剂,PO,A10BB01,4815,8690000000074,恒瑞医药,1,1,0,0,0,,H-DEMO-00072
H-DEMO-00075,格列齐特,gliclazide,达美康,80mg,片剂,PO,A10BB09,4816,8690000000075,石药集团,1,1,0,0,0,,H-DEMO-00072
H-DEMO-00076,西格列汀,sitagliptin,捷诺维,100mg,片剂,PO,A10BH01,593411,8690000000076,中国生物,1,1,0,0,0,,
H-DEMO-00077,达格列净,dapagliflozin,安达唐,10mg,片剂,PO,A10BK01,1373458,8690000000077,拜耳,1,1,0,0,0,,
H-DEMO-00078,利拉鲁肽,liraglutide,诺和力,18mg/3ml,注射液,SC,A10BJ02,897122,8690000000078,辉瑞,1,1,1,0,0,,
H-DEMO-00079,甘精胰岛素,insulin glargine,来得时,300U/3ml,注射液,SC,A10AE04,274783,8690000000079,诺华,1,1,1,0,0,,
H-DEMO-00080,门冬胰岛素,insulin aspart,诺和锐,300U/3ml,注射液,SC,A10AB05,51428,8690000000080,赛诺菲,1,1,1,0,0,,
H-DEMO-00081,精蛋白锌胰岛素,insulin nph,万苏林,400U/10ml,注射液,SC,A10AC01,5856,8690000000081,AstraZeneca,1,1,1,0,0,,
H-DEMO-00082,奥美拉唑,omeprazole,洛赛克,20mg,肠溶胶囊,PO,A02BC01,7646,8690000000082,罗氏,1,1,0,0,0,,
H-DEMO-00083,泮托拉唑,pantoprazole,潘妥洛克,40mg,肠溶片,PO,A02BC02,40790,8690000000083,齐鲁制药,1,1,0,0,0,,
H-DEMO-00084,雷贝拉唑,rabeprazole,瑞波特,10mg,肠溶片,PO,A02BC04,114979,8690000000084,复星医药,1,1,0,0,0,,
H-DEMO-00085,埃索美拉唑,esomeprazole,耐信,40mg,肠溶片,PO,A02BC05,283742,8690000000085,科伦药业,1,1,0,0,0,,
H-DEMO-00086,多潘立酮,domperidone,吗丁啉,10mg,片剂,PO,A03FA03,3626,8690000000086,华润双鹤,1,1,0,0,0,,
H-DEMO-00087,甲氧氯普胺,metoclopramide,胃复安,10mg,片剂,PO,A03FA01,6922,8690000000087,正大天晴,1,1,0,0,0,,
H-DEMO-00088,昂丹司琼,ondansetron,枢复宁,8mg,片剂,PO,A04AA01,26225,8690000000088,豪森药业,1,1,0,0,0,,
H-DEMO-00089,乳果糖,lactulose,杜密克,15ml,口服溶液,PO,A06AD11,6218,8690000000089,人福医药,1,1,0,0,0,,
H-DEMO-00090,沙丁胺醇,salbutamol,万托林,100μg,气雾剂,INH,R03AC02,435,8690000000090,华北制药,1,1,0,0,0,呼吸科,
H-DEMO-00091,布地奈德,budesonide,普米克,200μg,吸入剂,INH,R03BA02,19831,8690000000091,扬子江药业,1,1,0,0,0,,
H-DEMO-00092,氨茶碱,aminophylline,氨茶碱,0.25g,注射液,IV,R03DA05,689,8690000000092,恒瑞医药,1,1,0,0,0,,
H-DEMO-00093,孟鲁司特,montelukast,顺尔宁,10mg,片剂,PO,R03DC03,88249,8690000000093,石药集团,1,1,0,0,0,,
H-DEMO-00094,乙酰半胱氨酸,acetylcysteine,沐舒坦,0.3g,片剂,PO,R05CB01,197,8690000000094,中国生物,1,1,0,0,0,,
H-DEMO-00095,左甲状腺素钠,levothyroxine,优甲乐,50μg,片剂,PO,H03AA01,10582,8690000000095,拜耳,1,1,0,0,0,,
H-DEMO-00096,左甲状腺素钠,levothyroxine,优甲乐,100μg,片剂,PO,H03AA01,10582,8690000000096,辉瑞,1,1,0,0,0,,
H-DEMO-00097,氟西汀,fluoxetine,百忧解,20mg,胶囊,PO,N06AB03,4493,8690000000097,诺华,1,1,0,0,0,,
H-DEMO-00098,舍曲林,sertraline,左洛复,50mg,片剂,PO,N06AB06,36437,8690000000098,赛诺菲,1,1,0,0,0,,
H-DEMO-00099,艾司西酞普兰,escitalopram,来士普,10mg,片剂,PO,N06AB10,321988,8690000000099,AstraZeneca,1,1,0,0,0,,
H-DEMO-00100,文拉法辛,venlafaxine,怡诺思,75mg,缓释胶囊,PO,N06AX16,39786,8690000000100,罗氏,1,1,0,0,0,,
H-DEMO-00101,奥氮平,olanzapine,再普乐,5mg,片剂,PO,N05AH03,61381,8690000000101,齐鲁制药,1,1,0,0,0,,
H-DEMO-00102,利培酮,risperidone,维思通,1mg,片剂,PO,N05AX08,35636,8690000000102,复星医药,1,1,0,0,0,,
H-DEMO-00103,喹硫平,quetiapine,思瑞康,0.1g,片剂,PO,N05AH04,51272,8690000000103,科伦药业,1,1,0,0,0,,
H-DEMO-00104,地西泮,diazepam,安定,5mg,片剂,PO,N05BA01,3322,8690000000104,华润双鹤,1,1,0,0,2,,
H-DEMO-00105,劳拉西泮,lorazepam,罗拉,1mg,片剂,PO,N05BA06,6470,8690000000105,正大天晴,1,1,0,0,2,,
H-DEMO-00106,佐匹克隆,zopiclone,忆梦返,7.5mg,片剂,PO,N05CF01,40048,8690000000106,豪森药业,1,1,0,0,2,,
H-DEMO-00107,苯巴比妥,phenobarbital,鲁米那,30mg,片剂,PO,N03AA02,8134,8690000000107,人福医药,1,1,0,0,2,,
H-DEMO-00108,丙戊酸钠,valproic acid,德巴金,0.5g,缓释片,PO,N03AG01,11118,8690000000108,华北制药,1,1,1,0,0,,
H-DEMO-00109,卡马西平,carbamazepine,得理多,0.2g,片剂,PO,N03AF01,2002,8690000000109,扬子江药业,1,1,1,0,0,,
H-DEMO-00110,左乙拉西坦,levetiracetam,开浦兰,0.5g,片剂,PO,N03AX14,114477,8690000000110,恒瑞医药,1,1,0,0,0,,
H-DEMO-00111,加巴喷丁,gabapentin,Neurontin,0.3g,胶囊,PO,N03AX16,25480,8690000000111,石药集团,1,1,0,0,0,,
H-DEMO-00112,西替利嗪,cetirizine,仙特明,10mg,片剂,PO,R06AE07,20610,8690000000112,中国生物,1,1,0,0,0,,
H-DEMO-00113,氯雷他定,loratadine,开瑞坦,10mg,片剂,PO,R06AX13,28439,8690000000113,拜耳,1,1,0,0,0,,
H-DEMO-00114,异丙嗪,promethazine,非那根,25mg,片剂,PO,R06AD02,8745,8690000000114,辉瑞,1,1,0,0,0,,
H-DEMO-00115,泼尼松,prednisone,强的松,5mg,片剂,PO,H02AB06,8640,8690000000115,诺华,1,1,0,0,0,,
H-DEMO-00116,甲泼尼龙,methylprednisolone,美卓乐,4mg,片剂,PO,H02AB04,6902,8690000000116,赛诺菲,1,1,0,0,0,,
H-DEMO-00117,地塞米松,dexamethasone,地塞米松,5mg,注射液,IV,H02AB02,3264,8690000000117,AstraZeneca,1,1,0,0,0,,
H-DEMO-00118,环孢素,ciclosporin,新山地明,25mg,胶囊,PO,L04AD01,3008,8690000000118,罗氏,1,1,1,0,0,器官移植,
H-DEMO-00119,甲氨蝶呤,methotrexate,甲氨蝶呤,2.5mg,片剂,PO,L04AX03,6851,8690000000119,齐鲁制药,1,1,1,0,0,,
H-DEMO-00120,丙泊酚,propofol,丙泊酚,0.2g/20ml,注射液,IV,N01AX10,8782,8690000000120,复星医药,1,1,1,0,0,麻醉科,
H-DEMO-00121,咪达唑仑,midazolam,力月西,5mg/1ml,注射液,IV,N05CD08,6960,8690000000121,科伦药业,1,1,1,0,2,麻醉科,
H-DEMO-00122,罗库溴铵,rocuronium,爱可松,50mg/5ml,注射液,IV,M03AC09,68139,8690000000122,华润双鹤,1,1,0,0,0,麻醉科,
H-DEMO-00123,去甲肾上腺素,norepinephrine,去甲肾,2mg/2ml,注射液,IV,C01CA03,7514,8690000000123,正大天晴,1,1,1,0,0,ICU,
H-DEMO-00124,多巴胺,dopamine,多巴胺,20mg/2ml,注射液,IV,C01CA04,3628,8690000000124,豪森药业,1,1,1,0,0,ICU,
H-DEMO-00125,肾上腺素,epinephrine,肾上腺素,1mg/1ml,注射液,IM,C01CA24,3992,8690000000125,人福医药,1,1,1,0,0,,
H-DEMO-00126,维生素K1,vitamin k,维生素K1,10mg,注射液,IM,B02BA01,11246,8690000000126,华北制药,1,1,0,0,0,,
H-DEMO-00127,维生素B12,cyanocobalamin,甲钴胺,0.5mg,片剂,PO,B03BA01,11248,8690000000127,扬子江药业,1,1,0,0,0,,
H-DEMO-00128,叶酸,folic acid,叶酸,5mg,片剂,PO,B03BB01,4511,8690000000128,恒瑞医药,1,1,0,0,0,,
H-DEMO-00129,氯化钾,potassium chloride,氯化钾,1g/10ml,注射液,IV,B05XA01,8591,8690000000129,石药集团,1,1,1,0,0,,
H-DEMO-00130,葡萄糖酸钙,calcium gluconate,葡萄糖酸钙,1g/10ml,注射液,IV,A12AA03,1908,8690000000130,中国生物,1,1,0,0,0,,
H-DEMO-00131,碳酸氢钠,sodium bicarbonate,小苏打,0.5g/10ml,注射液,IV,B05CB04,36676,8690000000131,拜耳,1,1,0,0,0,,
H-DEMO-00132,辅酶Q10,coenzyme q10,能气朗,10mg,片剂,PO,C01EB09,21406,8690000000132,辉瑞,1,1,0,0,0,,
H-DEMO-00133,圣约翰草,st johns wort,路优泰,300mg,片剂,PO,N06AX25,258326,8690000000133,诺华,1,1,0,0,0,,
H-DEMO-00134,银杏叶提取物,gingko,金纳多,40mg,片剂,PO,N06DX02,236778,8690000000134,赛诺菲,1,1,0,0,0,,
H-DEMO-00135,鱼油,fish oil,深海鱼油,1g,软胶囊,PO,C10AX06,4301,8690000000135,AstraZeneca,1,1,0,0,0,,
H-DEMO-00136,奥沙利铂,oxaliplatin,乐沙定,50mg,粉针,IV,L01XA03,32592,8690000000136,罗氏,1,1,1,0,0,肿瘤科,
H-DEMO-00137,紫杉醇,paclitaxel,泰素,30mg,注射液,IV,L01CD01,56946,8690000000137,齐鲁制药,1,1,1,0,0,肿瘤科,
H-DEMO-00138,顺铂,cisplatin,顺铂,30mg,注射液,IV,L01XA01,2555,8690000000138,复星医药,1,1,1,0,0,肿瘤科,
H-DEMO-00139,昂丹司琼,ondansetron,欧贝,8mg/4ml,注射液,IV,A04AA01,26225,8690000000139,科伦药业,1,1,0,0,0,,
H-DEMO-00140,连花清瘟胶囊,lianhua qingwen,连花清瘟,0.35g*24,胶囊,PO,Z01XX01,,8690000000140,华润双鹤,1,1,0,0,0,,
H-DEMO-00141,参麦注射液,shenmai injection,参麦,10ml,注射液,IV,Z02XX01,,8690000000141,正大天晴,1,1,1,0,0,,
H-DEMO-00142,丹参酮IIA磺酸钠,tanshinone iia,丹参酮,80mg/2ml,注射液,IV,C01XX01,,8690000000142,豪森药业,1,1,0,0,0,,
H-DEMO-00143,贝那普利,benazepril,洛汀新,10mg,片剂,PO,C09AA07,18867,8690000000143,人福医药,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00144,替米沙坦,telmisartan,美卡素,40mg,片剂,PO,C09CA07,73494,8690000000144,华北制药,1,1,0,0,0,,H-DEMO-00052
H-DEMO-00145,吲达帕胺,indapamide,寿比山,2.5mg,片剂,PO,C03BA11,5764,8690000000145,扬子江药业,1,1,0,0,0,,
H-DEMO-00146,特拉唑嗪,terazosin,高特灵,2mg,片剂,PO,C02CA01,37798,8690000000146,恒瑞医药,1,1,0,0,0,,
H-DEMO-00147,坦索罗辛,tamsulosin,哈乐,0.2mg,胶囊,PO,G04CA02,77492,8690000000147,石药集团,1,1,0,0,0,泌尿外科,
H-DEMO-00148,非那雄胺,finasteride,保列治,5mg,片剂,PO,G04CB01,25025,8690000000148,中国生物,1,1,0,0,0,泌尿外科,
H-DEMO-00149,索利那新,solifenacin,卫喜康,5mg,片剂,PO,G04BD08,358274,8690000000149,拜耳,1,1,0,0,0,,
H-DEMO-00150,托特罗定,tolterodine,舍尼亭,2mg,片剂,PO,G04BD07,119565,8690000000150,辉瑞,1,1,0,0,0,,
H-DEMO-00151,别嘌醇,allopurinol,别嘌醇,0.1g,片剂,PO,M04AA01,519,8690000000151,诺华,1,1,0,0,0,,
H-DEMO-00152,秋水仙碱,colchicine,秋水仙碱,0.5mg,片剂,PO,M04AC01,2683,8690000000152,赛诺菲,1,1,0,0,0,,
H-DEMO-00153,非布司他,febuxostat,优立通,40mg,片剂,PO,M04AA03,73689,8690000000153,AstraZeneca,1,1,0,0,0,,
H-DEMO-00154,骨化三醇,calcitriol,罗盖全,0.25μg,胶囊,PO,A11CC04,1894,8690000000154,罗氏,1,1,0,0,0,,
H-DEMO-00155,阿法骨化醇,alfacalcidol,阿法迪三,0.25μg,胶囊,PO,A11CC03,1893,8690000000155,齐鲁制药,1,1,0,0,0,,
H-DEMO-00156,左氧氟沙星,levofloxacin,左氧氟沙星,0.5g/100ml,注射液,IV,J01MA12,82122,8690000000156,复星医药,1,1,0,3,0,,
H-DEMO-00157,头孢唑林,cefazolin,先锋V,1g,粉针,IV,J01DB04,2180,8690000000157,科伦药业,1,1,0,2,0,,
H-DEMO-00158,头孢克肟,cefixime,世福素,0.1g,胶囊,PO,J01DD08,2197,8690000000158,华润双鹤,1,1,0,2,0,,
H-DEMO-00159,多西环素,doxycycline,强力霉素,0.1g,胶囊,PO,J01AA02,3640,8690000000159,正大天晴,1,1,0,2,0,,
H-DEMO-00160,米诺环素,minocycline,美满霉素,0.1g,胶囊,PO,J01AA08,6980,8690000000160,豪森药业,1,1,0,2,0,,
H-DEMO-00161,更昔洛韦,ganciclovir,赛美维,0.25g,粉针,IV,J05AB06,4678,8690000000161,人福医药,1,1,0,3,0,感染科,
H-DEMO-00162,阿昔洛韦,acyclovir,阿昔洛韦,0.2g,片剂,PO,J05AB01,281,8690000000162,华北制药,1,1,0,2,0,,
H-DEMO-00163,奥司他韦,oseltamivir,达菲,75mg,胶囊,PO,J05AH02,260101,8690000000163,扬子江药业,1,0,0,2,0,,H-DEMO-00038
H-DEMO-00164,利巴韦林,ribavirin,病毒唑,0.1g,片剂,PO,J05AP01,9344,8690000000164,恒瑞医药,1,1,0,2,0,,
H-DEMO-00165,乳杆菌活菌,lactobacillus,金双歧,0.5g,片剂,PO,A07FA01,,8690000000165,石药集团,1,1,0,0,0,,
H-DEMO-00166,双歧杆菌,bifidobacterium,培菲康,0.21g,胶囊,PO,A07FA01,,8690000000166,中国生物,1,1,0,0,0,,
H-DEMO-00167,蒙脱石散,smectite,思密达,3g,散剂,PO,A07BC05,,8690000000167,拜耳,1,1,0,0,0,,
H-DEMO-00168,洛哌丁胺,loperamide,易蒙停,2mg,胶囊,PO,A07DA03,6468,8690000000168,辉瑞,1,1,0,0,0,,
H-DEMO-00169,开塞露,glycerin enema,开塞露,20ml,灌肠剂,PR,A06AG04,4910,8690000000169,诺华,1,1,0,0,0,,
H-DEMO-00170,聚乙二醇4000,macrogol,福松,10g,散剂,PO,A06AD65,236782,8690000000170,赛诺菲,1,1,0,0,0,,
H-DEMO-00171,铝碳酸镁,hydrotalcite,达喜,0.5g,咀嚼片,PO,A02AX01,,8690000000171,AstraZeneca,1,1,0,0,0,,
H-DEMO-00172,硫糖铝,sucralfate,硫糖铝,0.25g,片剂,PO,A02BX02,10156,8690000000172,罗氏,1,1,0,0,0,,
H-DEMO-00173,瑞巴派特,rebamipide,膜固思达,0.1g,片剂,PO,A02BX14,236443,8690000000173,齐鲁制药,1,1,0,0,0,,
H-DEMO-00174,熊去氧胆酸,ursodeoxycholic acid,优思弗,0.25g,胶囊,PO,A05AA02,11065,8690000000174,复星医药,1,1,0,0,0,,
H-DEMO-00175,多烯磷脂酰胆碱,polyene phosphatidylcholine,易善复,0.228g,胶囊,PO,A05BA01,,8690000000175,科伦药业,1,1,0,0,0,,
H-DEMO-00176,还原型谷胱甘肽,glutathione,阿拓莫兰,0.6g,粉针,IV,V03AB32,,8690000000176,华润双鹤,1,1,0,0,0,,
H-DEMO-00177,异甘草酸镁,magnesium isoglycyrrhizinate,异甘草酸镁,50mg,注射液,IV,A05BA05,,8690000000177,正大天晴,1,1,0,0,0,,
H-DEMO-00178,乙酰唑胺,acetazolamide,乙酰唑胺,0.25g,片剂,PO,S01EC01,167,8690000000178,豪森药业,1,1,0,0,0,,
H-DEMO-00179,毛果芸香碱,pilocarpine,匹鲁卡品,1%,滴眼液,OPH,S01EB01,8327,8690000000179,人福医药,1,1,0,0,0,眼科,
